Department,Sex,Admitted
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,M,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,F,Yes
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,M,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
English,F,No
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,M,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,F,Yes
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,M,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
History,F,No
