height,youtube,nationality,gender
161.196881,250787,SG,F
156.6681994,9750293,SG,F
176.9316405,36,SG,F
162.7593917,239,SG,F
175.8995469,1847206,SG,F
161.6766272,2197,SG,F
167.410334,19162,SG,F
161.3229312,12,SG,F
164.0407209,9488,SG,F
169.0006039,0,SG,F
151.4389379,0,SG,F
157.9364828,1,SG,F
168.0164576,0,SG,F
155.0683675,6,SG,F
163.9438547,751133,SG,F
168.9879956,872,SG,F
166.188558,4,SG,F
162.0387362,286,SG,F
168.7791356,0,SG,F
165.0639148,2,SG,F
160.5819251,0,SG,F
167.9035933,9587,SG,F
164.7380949,599,SG,F
155.7505311,2850133,SG,F
159.0408647,338,SG,F
166.5196071,1327,SG,F
162.0361001,359,SG,F
158.4630113,181,SG,F
163.5828867,16767655,SG,F
159.2797801,12976,SG,F
166.4391414,187,SG,F
159.4188393,7787,SG,F
171.662698,29123,SG,F
159.165859,10896153,SG,F
169.5521069,2401,SG,F
167.1479938,11,SG,F
159.6698867,38292,SG,F
165.8328992,144343,SG,F
161.7501443,120322,SG,F
164.526554,0,SG,F
163.1560925,428183,SG,F
155.98908,809678,SG,F
153.932233,3394,SG,F
159.1738308,0,SG,F
159.0043306,182043,SG,F
162.4335269,83472,SG,F
161.1081371,196219,SG,F
152.7756562,71529,SG,F
169.8823059,78404,SG,F
166.0058746,10616,SG,F
162.4220861,0,SG,F
175.6456585,22647,SG,F
165.0583924,148,SG,F
163.4193899,3354,SG,F
165.8958078,40044,SG,F
153.9265573,1286,SG,F
153.8447638,0,SG,F
158.817376,60799,SG,F
157.4768152,3438,SG,F
161.6623733,4485716,SG,F
160.9747179,0,SG,F
169.4175914,689695,SG,F
162.9348046,174,SG,F
161.6501455,10,SG,F
169.157795,223,SG,F
164.8897819,52683,SG,F
169.1974443,61536,SG,F
168.6708733,0,SG,F
159.2193082,603809,SG,F
165.7551213,926,SG,F
166.4079691,47,SG,F
164.2251534,416053,SG,F
161.0511433,965723,SG,F
157.69442,54292,SG,F
160.0367523,89,SG,F
156.7165359,57968923,SG,F
156.7201053,633593,SG,F
161.2140229,288,SG,F
164.2571047,1706913,SG,F
163.6248819,3443528,SG,F
166.1137561,616,SG,F
163.0734258,5607792,SG,F
156.5754795,0,SG,F
168.2236358,12470882,SG,F
159.8701186,28692,SG,F
165.1118106,0,SG,F
160.657164,0,SG,F
158.4073839,619,SG,F
160.0262166,1903756,SG,F
162.2939696,0,SG,F
156.8465126,7,SG,F
163.0899155,6083,SG,F
157.9147219,365,SG,F
163.0435726,15093,SG,F
159.6365999,0,SG,F
157.2303378,4236,SG,F
153.881426,25052,SG,F
152.6599688,674,SG,F
167.7986243,136,SG,F
167.9038642,177706,SG,F
167.6012465,2214,SG,F
160.8257834,2552015,SG,F
163.5557149,114770,SG,F
165.2528563,0,SG,F
169.4103517,70895,SG,F
172.9785227,436,SG,F
147.8321677,1881109,SG,F
166.9673239,580698,SG,F
174.9438672,202,SG,F
165.5015365,1,SG,F
165.3048978,0,SG,F
168.9576857,4163,SG,F
169.7613006,2184,SG,F
154.1549989,781,SG,F
154.2829537,236,SG,F
163.4674689,81693,SG,F
157.1428315,445,SG,F
158.7580879,7554,SG,F
160.0623441,60475,SG,F
175.5656026,5,SG,F
174.7931618,1261279,SG,F
162.2459586,4544599,SG,F
168.8435261,377962,SG,F
161.4630162,1152317,SG,F
164.0390821,7076913,SG,F
163.0726398,5851,SG,F
157.0115467,3992,SG,F
160.4761199,15,SG,F
166.6395143,1657,SG,F
151.4261064,0,SG,F
157.4763793,126,SG,F
154.8401228,274905,SG,F
160.8652285,6184885,SG,F
158.634743,480192,SG,F
158.2246065,544001,SG,F
160.3513516,12322325,SG,F
165.5018877,173401,SG,F
160.4678058,1,SG,F
166.0591842,2195,SG,F
155.0481144,778075,SG,F
158.0287697,19955,SG,F
147.6487702,7124134,SG,F
161.6713583,114,SG,F
162.9173231,3377,SG,F
164.0134293,1619019,SG,F
161.3539953,5041548,SG,F
159.4361865,15330,SG,F
170.8502083,1070302,SG,F
157.4811064,0,SG,F
160.1237912,1602,SG,F
164.5196166,2,SG,F
156.5800876,3654,SG,F
165.4463371,366026,SG,F
160.810344,385205,SG,F
156.1991609,18080772,SG,F
166.257035,134,SG,F
157.7767406,55580,SG,F
166.40361,185,SG,F
166.1422387,682,SG,F
165.6340266,149675,SG,F
159.134535,2781,SG,F
156.9313273,46,SG,F
172.1427742,17772,SG,F
166.1371858,28007,SG,F
169.3241681,22731,SG,F
163.3299359,351534,SG,F
152.3962238,0,SG,F
155.8953825,3630443,SG,F
168.1803163,595,SG,F
158.1834743,19257,SG,F
163.3098633,1685983,SG,F
161.2272029,0,SG,F
175.059404,355069,SG,F
159.5503292,525100,SG,F
160.137505,1521340,SG,F
160.6795971,50,SG,F
155.1551925,511,SG,F
156.5045698,0,SG,F
167.8187815,0,SG,F
160.7660645,8211167,SG,F
170.373569,111346,SG,F
175.7554301,37915,SG,F
163.2992333,19157,SG,F
162.3585744,481531,SG,F
161.0072066,2281,SG,F
165.2575157,421090,SG,F
157.0583899,0,SG,F
165.3018787,455353,SG,F
159.9203498,7152,SG,F
156.8769209,4480852,SG,F
158.2281735,0,SG,F
160.9769207,1916557,SG,F
158.586272,696762,SG,F
163.0222803,6550,SG,F
160.4291388,4530,SG,F
158.3050679,285688,SG,F
157.292861,25094350,SG,F
155.2240038,21056,SG,F
155.3701643,443,SG,F
155.812141,193256,SG,F
164.7750793,5348,SG,F
161.4009713,9,SG,F
154.7665792,1085164,SG,F
170.0172991,3,SG,F
169.881292,483,SG,F
162.4339797,2329,SG,F
168.4846561,24086,SG,F
171.6306723,1620,SG,F
162.7038418,1,SG,F
160.4420129,6,SG,F
166.6175006,332017,SG,F
159.5429218,3736587,SG,F
161.2368324,133815,SG,F
175.2451258,1873,SG,F
170.6328634,0,SG,F
159.6661032,6685165,SG,F
160.3056197,2287669,SG,F
158.9916417,5209,SG,F
161.4171026,32,SG,F
160.8747603,1,SG,F
156.3586322,2434542,SG,F
161.3393782,3,SG,F
158.1176107,5242913,SG,F
166.0071519,1469410,SG,F
161.8289535,0,SG,F
163.6669273,78,SG,F
153.2196197,13,SG,F
163.6283629,724,SG,F
163.1908604,3687913,SG,F
169.7238343,0,SG,F
177.0583389,2,SG,F
164.2147567,16,SG,F
168.2053157,71382,SG,F
156.7090182,17460,SG,F
167.3350555,146672,SG,F
165.0620797,493923,SG,F
167.3864044,256405,SG,F
161.8312063,0,SG,F
161.0482129,69318,SG,F
157.1286481,68,SG,F
166.6104179,61458,SG,F
154.713939,372648,SG,F
168.0294897,2892,SG,F
167.87743,4684361,SG,F
159.470316,289,SG,F
150.6752164,44629,SG,F
164.03131,21745,SG,F
171.1445298,1,SG,F
159.6896,227888,SG,F
162.959979,771,SG,F
160.4697645,1388671,SG,F
169.201761,924,SG,F
172.7364195,2227,SG,F
158.0695359,14251,SG,F
169.5910242,280,SG,F
161.7569134,715,SG,F
167.7370071,1609,SG,F
173.5490572,329323,SG,F
163.4931064,6213,SG,F
171.52963,23,SG,F
163.6758852,0,SG,F
153.0624263,0,SG,F
167.9857132,2,SG,F
158.2788014,220,SG,F
166.1028809,1351519,SG,F
157.9500912,1174800,SG,F
150.0092575,458740,SG,F
156.5206607,1711943,SG,F
168.7901637,126,SG,F
152.9643376,179,SG,F
157.2681148,531911,SG,F
157.7732979,905,SG,F
155.3929205,3709201,SG,F
161.5316805,0,SG,F
165.0199029,174,SG,F
154.1357177,0,SG,F
159.0793392,468356,SG,F
160.7031105,0,SG,F
167.6065465,5,SG,F
160.8019715,0,SG,F
152.7277809,467,SG,F
167.0351503,31759,SG,F
161.1820001,361,SG,F
161.913212,0,SG,F
167.5078765,0,SG,F
166.5027437,5490566,SG,F
172.6378026,1806,SG,F
154.4526432,422192,SG,F
166.0804199,7946,SG,F
166.6932871,161451,SG,F
165.3221342,2050205,SG,F
158.279933,13877,SG,F
158.8673027,0,SG,F
150.8236401,0,SG,F
159.7408062,2,SG,F
156.2980368,6208606,SG,F
153.9177977,241,SG,F
154.2496916,232808,SG,F
156.7700016,0,SG,F
159.300763,3362180,SG,F
164.0134702,2,SG,F
164.2134525,7,SG,F
165.6715991,356,SG,F
169.1686471,0,SG,F
167.4078817,798071,SG,F
161.8520671,5,SG,F
161.6736938,0,SG,F
167.249697,101776,SG,F
163.7931392,1604763,SG,F
159.7730952,8,SG,F
158.0515999,0,SG,F
169.8192024,830,SG,F
165.0621278,9,SG,F
171.8724234,1304137,SG,F
152.8277205,11,SG,F
164.9517431,45,SG,F
160.6430522,6,SG,F
155.2509527,3700659,SG,F
164.8771623,4065,SG,F
157.5572491,0,SG,F
161.0332754,525239,SG,F
170.0169682,17260,SG,F
158.9399162,0,SG,F
155.3144967,5552987,SG,F
158.6627393,3,SG,F
160.3134385,0,SG,F
161.0970754,51,SG,F
160.881411,0,SG,F
158.7983622,1792763,SG,F
163.9998916,6426,SG,F
155.2269293,53458176,SG,F
162.7667576,129942,SG,F
169.0725254,46,SG,F
165.225131,314,SG,F
146.7566964,6262217,SG,F
168.5847721,4149,SG,F
160.1419455,175624,SG,F
152.4641158,11757479,SG,F
170.5224118,76,SG,F
160.8476197,37,SG,F
164.0487493,178047,SG,F
162.0406576,0,SG,F
164.2369637,0,SG,F
160.6067234,0,SG,F
175.8051909,2018,SG,F
170.1570998,2775109,SG,F
165.4960082,241606,SG,F
160.276319,7462,SG,F
154.1060386,222,SG,F
156.2816237,0,SG,F
171.3319285,4488,SG,F
158.6190325,10235,SG,F
174.0500803,809,SG,F
155.5096152,3051875,SG,F
161.657524,2900642,SG,F
162.67157,0,SG,F
163.4992108,102,SG,F
160.8931387,686359,SG,F
170.1174948,7264,SG,F
160.0908974,50028,SG,F
170.8287844,6616540,SG,F
167.2450125,0,SG,F
167.3267219,5671052,SG,F
166.359617,6330,SG,F
168.1936094,397004,SG,F
162.5194104,3017,SG,F
176.5265191,78114,SG,F
176.888575,2115,SG,F
172.5783975,0,SG,F
160.5880989,0,SG,F
162.3243625,0,SG,F
171.1254385,4694,SG,F
156.8410821,36445,SG,F
171.3345243,123982,SG,F
165.852494,9794975,SG,F
153.7100614,12157,SG,F
157.4078125,60,SG,F
167.0066754,0,SG,F
168.1942329,4028,SG,F
156.403327,1,SG,F
169.2124428,36685,SG,F
149.1354192,2312212,SG,F
167.2168527,57,SG,F
159.6562978,245,SG,F
158.0468376,0,SG,F
158.102062,183869,SG,F
162.3578955,0,SG,F
169.7023987,7244457,SG,F
156.2358231,967231,SG,F
163.4985385,815578,SG,F
171.9928323,10,SG,F
164.638148,250437,SG,F
159.3024782,896020,SG,F
158.7454805,13141,SG,F
153.3944503,209732,SG,F
160.3315306,4903346,SG,F
164.5687329,297107,SG,F
163.0029413,2076,SG,F
157.3140231,653555,SG,F
165.2507404,1816332,SG,F
158.8201343,0,SG,F
175.5237298,72128,SG,F
158.2879106,166049,SG,F
158.8962785,50,SG,F
160.1399369,5496027,SG,F
158.0360549,92129,SG,F
161.9995204,118597,SG,F
170.3734715,299135,SG,F
159.0686318,358128,SG,F
156.701704,0,SG,F
156.880666,990,SG,F
160.6801759,0,SG,F
160.2514966,63,SG,F
164.7704895,10228,SG,F
167.2396257,0,SG,F
162.5062688,0,SG,F
158.6760132,7942870,SG,F
160.0794491,5468101,SG,F
156.784152,817390,SG,F
166.4449949,8,SG,F
156.5217418,1,SG,F
154.5137502,285,SG,F
166.7853095,239,SG,F
161.9935601,243337,SG,F
158.1072403,423,SG,F
160.3946711,45,SG,F
171.5315182,185236,SG,F
162.1327245,0,SG,F
168.6721427,278,SG,F
157.5625095,530539,SG,F
161.6720044,78,SG,F
155.7353344,1091200,SG,F
162.1243594,0,SG,F
161.6539203,55500,SG,F
158.5120635,17663,SG,F
168.8693772,2929,SG,F
161.8635237,11973575,SG,F
161.3120782,19127615,SG,F
167.6541822,64438,SG,F
159.9658297,3303858,SG,F
160.3948978,1117590,SG,F
158.534726,137,SG,F
159.4826667,5785,SG,F
171.4664649,430213,SG,F
161.9504908,1229106,SG,F
162.0908253,0,SG,F
161.3465152,18047206,SG,F
163.2092962,0,SG,F
155.2371212,398697,SG,F
165.3050018,0,SG,F
160.8967438,0,SG,F
159.5341626,145,SG,F
160.4960505,0,SG,F
158.3886642,108471,SG,F
171.7935781,6483,SG,F
150.7711986,49123,SG,F
167.2002298,37549,SG,F
172.2346362,28,SG,F
164.4242347,0,SG,F
166.4482441,771903,SG,F
159.8523822,825439,SG,F
152.7786484,1,SG,F
159.8991079,99310,SG,F
166.3363082,43889,SG,F
165.2710176,991904,SG,F
164.0635433,14639440,SG,F
164.7100619,0,SG,F
157.3614449,706,SG,F
161.9122589,130492,SG,F
165.8033606,22010,SG,F
159.7785418,235843,SG,F
168.0276805,2210130,SG,F
162.9325736,1888,SG,F
162.4380829,44,SG,F
166.583716,14784,SG,F
168.7569168,218,SG,F
165.2930716,11,SG,F
166.3158823,4,SG,F
158.9260368,121079,SG,F
168.6412703,436784,SG,F
176.4881046,0,SG,F
151.4285753,1862,SG,F
163.0133032,101,SG,F
167.2725366,0,SG,F
158.0241726,839475,SG,F
158.8785661,253423,SG,F
159.2365029,1905,SG,F
154.1000476,0,SG,F
156.808631,13396,SG,F
162.7200637,81,SG,F
163.7200457,240532,SG,F
167.3800993,0,SG,F
164.1051521,416067,SG,F
161.1479718,14483,SG,F
154.1749473,29,SG,F
165.1759392,19744,SG,F
166.2761231,46,SG,F
162.3434361,459008,SG,F
170.6069921,2782,SG,F
161.1869551,2343357,SG,F
160.058139,4286789,SG,F
158.9507137,33240,SG,F
169.8091476,1171,SG,F
165.4665097,8598871,SG,F
152.8707338,19522749,SG,F
169.4757381,0,SG,F
154.4635161,23598,SG,F
167.6617273,0,SG,F
163.8732746,8395,SG,F
158.4883361,4948557,SG,F
161.558625,483,SG,F
163.9619128,727256,SG,F
158.1648292,1565,SG,F
160.4862459,0,SG,F
159.5499278,1189,SG,F
162.8013852,47,SG,F
165.6386801,74614,SG,F
162.4023757,9,SG,F
154.5720197,836094,SG,F
168.2761021,22056,SG,F
160.4116088,218753,SG,F
166.1892033,39,SG,F
163.864158,0,SG,F
162.802665,5832452,SG,F
154.6860976,29668,SG,F
154.4840673,328665,SG,F
159.8565078,11098806,SG,F
159.4801923,84,SG,F
169.4870707,641017,SG,F
162.5635328,3394904,SG,F
165.041897,1,SG,F
158.2169198,2414276,SG,F
153.9248706,51446,SG,F
171.2128369,1630817,SG,F
169.6132049,775923,SG,F
165.7245638,0,SG,F
162.5286898,8452918,SG,F
162.1011104,3052889,SG,F
146.8361994,0,SG,F
155.1028939,0,SG,F
159.6236127,0,SG,F
161.8796468,131,SG,F
166.10414,0,SG,F
160.4979013,10861189,SG,F
168.4523445,14111,SG,F
154.6571528,77,SG,F
162.1248078,829517,SG,F
160.5837687,0,SG,F
164.0042651,2921552,SG,F
165.5994067,238611,SG,F
166.7570868,64,SG,F
162.457348,942,SG,F
160.6877687,450584,SG,F
174.1047136,2873064,SG,F
164.0614959,28318,SG,F
160.3756522,20,SG,F
171.332375,37,SG,F
162.9878782,0,SG,F
156.5549415,3754004,SG,F
157.0826597,0,SG,F
164.6526716,1272,SG,F
160.0862891,8253310,SG,F
171.396664,8233,SG,F
159.2890725,15766469,SG,F
163.8750376,6,SG,F
148.4111724,3986,SG,F
161.5624855,73642,SG,F
170.6503328,0,SG,F
168.2808195,6388136,SG,F
165.734693,2000439,SG,F
162.3687657,66,SG,F
164.102723,836945,SG,F
170.2278893,684788,SG,F
166.4119302,1781245,SG,F
173.3743724,0,SG,F
161.1210457,4240,SG,F
161.6956187,21288121,SG,F
165.3520979,618300,SG,F
158.4292787,5604649,SG,F
161.5157906,0,SG,F
172.3352715,207262,SG,F
166.0117214,837646,SG,F
167.6546628,4,SG,F
160.7564906,3343918,SG,F
151.065278,18757,SG,F
162.8106406,1875482,SG,F
154.4964547,27,SG,F
155.5414837,0,SG,F
156.297273,5432,SG,F
169.202485,2,SG,F
167.841156,0,SG,F
160.4725749,9038,SG,F
163.0424966,186072,SG,F
163.2465521,34,SG,F
164.9555215,1237786,SG,F
158.1570046,0,SG,F
163.8302828,163279,SG,F
163.4183053,54698,SG,F
156.1697035,42064,SG,F
159.3481267,4,SG,F
166.0990876,740,SG,F
161.1710233,341790,SG,F
156.8559521,6801,SG,F
166.0816399,1446416,SG,F
155.9536483,0,SG,F
150.8857149,5,SG,F
164.1624837,14186,SG,F
165.3634696,14810591,SG,F
161.0740362,2199177,SG,F
151.9624525,478518,SG,F
150.2713622,5502,SG,F
154.4249904,0,SG,F
164.5244537,1845618,SG,F
161.8231894,0,SG,F
159.8414678,647668,SG,F
161.7838979,31,SG,F
165.9092403,7163793,SG,F
161.9377496,7,SG,F
156.9127387,1218641,SG,F
168.7420567,0,SG,F
164.4510426,100,SG,F
167.2148663,198736,SG,F
168.2629934,0,SG,F
164.1317514,0,SG,F
163.4175304,87,SG,F
160.1241815,1559009,SG,F
164.3606898,3508167,SG,F
166.9822452,365,SG,F
163.6368681,344947,SG,F
164.3421071,0,SG,F
152.9785499,20048,SG,F
164.437306,0,SG,F
156.7880034,92,SG,F
169.3787878,5829,SG,F
156.0732408,22,SG,F
160.2571125,127940,SG,F
169.9604925,944853,SG,F
157.2737751,149683,SG,F
166.7975437,140359,SG,F
160.0038853,9978,SG,F
162.5806265,1003114,SG,F
168.8415255,527,SG,F
170.0802033,4,SG,F
174.981746,0,SG,F
154.2315968,0,SG,F
159.5293866,475,SG,F
160.6649973,3,SG,F
162.8434602,20048,SG,F
156.6264412,387844,SG,F
170.1446828,29689,SG,F
164.6801517,0,SG,F
164.5861418,21605,SG,F
169.0759978,134984,SG,F
155.8072323,19987861,SG,F
158.9808946,97522,SG,F
167.4032849,244624,SG,F
154.0323823,0,SG,F
150.4094655,44918,SG,F
172.6560457,5724326,SG,F
154.7869713,18315,SG,F
158.3461154,2063855,SG,F
172.8167633,1036396,SG,F
169.1331847,23741,SG,F
166.6637815,0,SG,F
165.9765701,22641,SG,F
167.1088888,39,SG,F
151.219008,1725,SG,F
160.0670794,8448629,SG,F
167.5847406,19318,SG,F
165.7384612,14775,SG,F
162.7672725,2058,SG,F
166.9268702,1654,SG,F
162.0037319,1730018,SG,F
166.3938543,6161839,SG,F
160.6150432,0,SG,F
163.7529793,45547,SG,F
165.1481468,0,SG,F
163.3730552,7,SG,F
159.9828891,26955,SG,F
161.7834559,4147216,SG,F
157.9177078,2563,SG,F
154.7238094,0,SG,F
164.8535196,129731,SG,F
159.0874121,0,SG,F
153.8192971,0,SG,F
166.0227914,5842342,SG,F
150.2586075,0,SG,F
161.8149562,163,SG,F
163.6261023,2215176,SG,F
167.8279084,5374,SG,F
161.9159498,0,SG,F
156.1316832,12655477,SG,F
161.9937665,1526713,SG,F
163.9046973,4563966,SG,F
172.8486648,2215,SG,F
165.0653889,506978,SG,F
157.8494834,0,SG,F
158.1192927,7687597,SG,F
160.0673858,13053,SG,F
164.3921424,53400,SG,F
162.7268381,0,SG,F
169.5268458,3899287,SG,F
167.3271126,98,SG,F
153.836246,19650,SG,F
167.1020621,0,SG,F
165.6730166,24450,SG,F
166.7834179,0,SG,F
171.5416,4612,SG,F
158.5881141,151,SG,F
160.2657942,0,SG,F
165.5515703,4777,SG,F
165.3819229,4,SG,F
149.7185453,0,SG,F
157.7895564,293,SG,F
157.1563982,49,SG,F
154.7000397,7435,SG,F
160.7111211,1217429,SG,F
161.5309503,1864,SG,F
170.5455466,482079,SG,F
163.0755384,5693,SG,F
153.9496216,0,SG,F
172.1328192,1888,SG,F
160.4423763,3503161,SG,F
165.4565802,319595,SG,F
163.7336222,1870,SG,F
163.262438,72947,SG,F
155.6987282,32266,SG,F
174.6363372,404612,SG,F
156.308837,0,SG,F
164.3590501,22688,SG,F
161.0027772,0,SG,F
164.0302474,2043,SG,F
164.8990052,0,SG,F
157.2968562,23582,SG,F
